Label,Message
spam,You have been selected for a free cruise to the Bahamas. Call now!
ham,Good luck on your exam!
spam,Claim your free iPhone now. Limited time offer!
ham,Can you call me when you're free?
spam,Your mobile number has won a lottery. Contact us to claim.
ham,"Hey, are we still meeting for lunch today?"
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been chosen for a $500 Amazon voucher. Click to redeem.
ham,Are you coming to the party tonight?
spam,You've been chosen for a $500 Amazon voucher. Click to redeem.
spam,Exclusive deal just for you. Visit our site to learn more.
spam,Act fast! Your loan approval is waiting. Apply now.
spam,You've been chosen for a $500 Amazon voucher. Click to redeem.
spam,Your mobile number has won a lottery. Contact us to claim.
spam,Act fast! Your loan approval is waiting. Apply now.
ham,Don't forget to bring your notebook to class.
ham,"Hey, are we still meeting for lunch today?"
spam,Your mobile number has won a lottery. Contact us to claim.
spam,Get rich quick! Join our investment program today.
ham,Are you coming to the party tonight?
spam,URGENT! Your account has been compromised. Verify your details immediately.
ham,Are you coming to the party tonight?
ham,Let's catch up over coffee this weekend.
ham,Are you coming to the party tonight?
ham,Don't forget to bring your notebook to class.
spam,Act fast! Your loan approval is waiting. Apply now.
spam,Act fast! Your loan approval is waiting. Apply now.
spam,Exclusive deal just for you. Visit our site to learn more.
spam,You have been selected for a free cruise to the Bahamas. Call now!
spam,Act fast! Your loan approval is waiting. Apply now.
ham,Please send me the report by tomorrow.
ham,Please send me the report by tomorrow.
ham,Please send me the report by tomorrow.
ham,Happy birthday! Hope you have a great day.
ham,Happy birthday! Hope you have a great day.
ham,Please send me the report by tomorrow.
ham,"I'll be late to the meeting, stuck in traffic."
spam,Claim your free iPhone now. Limited time offer!
spam,Win cash prizes daily! Text WIN to 12345.
ham,"Hey, are we still meeting for lunch today?"
ham,Are you coming to the party tonight?
ham,Thanks for your help yesterday!
ham,"I'll be late to the meeting, stuck in traffic."
ham,Happy birthday! Hope you have a great day.
ham,"I'll be late to the meeting, stuck in traffic."
spam,You've been chosen for a $500 Amazon voucher. Click to redeem.
spam,Claim your free iPhone now. Limited time offer!
spam,Exclusive deal just for you. Visit our site to learn more.
spam,Act fast! Your loan approval is waiting. Apply now.
spam,Exclusive deal just for you. Visit our site to learn more.
spam,Your Credit Score has been changed
spam,"complete the survey, get points and redeem a voucher"
