message,label
"Dear user, your loan of $5000 has been pre-approved. Apply here: http://fakeoffer.net",spam
Let’s catch up over coffee soon.,ham
"Your parcel is waiting. Pay ₹50,000 to release: http://fakeoffer.net",spam
Earn up to $999 per day working from home. Join now: http://scam-link.com,spam
Lunch at 1 PM? Let me know.,ham
"Earn up to ₹50,000 per day working from home. Join now: http://fakeoffer.net",spam
Happy Birthday! 🎉 Have a great day.,ham
You have been selected for a FREE Holiday Package. Call +91-9876543210 today!,spam
Get rich quick! Invest in DogeCoin today and double your money.,spam
You are the lucky winner of our Cash Reward. Contact us immediately!,spam
"Earn up to ₹50,000 per day working from home. Join now: http://bit.ly/claim-prize",spam
Don’t forget the team call at 4 PM.,ham
You are the lucky winner of our Amazon Gift Card. Contact us immediately!,spam
You have been selected for a FREE Cash Reward. Call +44-7700-900123 today!,spam
Happy Birthday! 🎉 Have a great day.,ham
Happy Birthday! 🎉 Have a great day.,ham
I’ll be on leave next week.,ham
Congratulations! You’ve won Amazon Gift Card. Click here to claim: http://bit.ly/claim-prize,spam
You are the lucky winner of our Cash Reward. Contact us immediately!,spam
"Earn up to ₹50,000 per day working from home. Join now: http://bit.ly/claim-prize",spam
Please review the attached document.,ham
Happy Birthday! 🎉 Have a great day.,ham
You are the lucky winner of our iPhone 15. Contact us immediately!,spam
Limited time offer! Get 90% off on all products. Visit http://fakeoffer.net,spam
Don’t forget the team call at 4 PM.,ham
Limited time offer! Get 70% off on all products. Visit http://fakeoffer.net,spam
Earn up to $200 per day per day working from home. Join now: http://bit.ly/claim-prize,spam
Don’t forget the team call at 4 PM.,ham
You have been selected for a FREE MacBook. Call +91-9876543210 today!,spam
You are the lucky winner of our MacBook. Contact us immediately!,spam
Let’s catch up over coffee soon.,ham
I have updated the presentation slides.,ham
Happy Birthday! 🎉 Have a great day.,ham
Don’t forget the team call at 4 PM.,ham
Happy Birthday! 🎉 Have a great day.,ham
Don’t forget the team call at 4 PM.,ham
You are the lucky winner of our MacBook. Contact us immediately!,spam
Happy Birthday! 🎉 Have a great day.,ham
Final notice! Update your payment details or service will be terminated.,spam
Can you send me the report by evening?,ham
Don’t forget the team call at 4 PM.,ham
Can you send me the report by evening?,ham
URGENT: Your account will be suspended. Verify now: http://fakeoffer.net,spam
Final notice! Update your payment details or service will be terminated.,spam
Don’t forget the team call at 4 PM.,ham
"Earn up to ₹50,000 per day working from home. Join now: http://fakeoffer.net",spam
Let’s catch up over coffee soon.,ham
Happy Birthday! 🎉 Have a great day.,ham
Please review the attached document.,ham
"Hi, are we still meeting tomorrow?",ham
You have been selected for a FREE Cash Reward. Call +44-7700-900123 today!,spam
"Dear user, your loan of $999 has been pre-approved. Apply here: http://scam-link.com",spam
Don’t forget the team call at 4 PM.,ham
You are the lucky winner of our Holiday Package. Contact us immediately!,spam
I’ll be on leave next week.,ham
I’ll be on leave next week.,ham
Your parcel is waiting. Pay $200 per day to release: http://fakeoffer.net,spam
Can you send me the report by evening?,ham
Please review the attached document.,ham
Lunch at 1 PM? Let me know.,ham
You have been selected for a FREE MacBook. Call +91-9876543210 today!,spam
"Hi, are we still meeting tomorrow?",ham
I’ll be on leave next week.,ham
Get rich quick! Invest in Shiba Inu today and double your money.,spam
Don’t forget the team call at 4 PM.,ham
I’ll be on leave next week.,ham
Limited time offer! Get 30% off on all products. Visit http://scam-link.com,spam
Get rich quick! Invest in DogeCoin today and double your money.,spam
Final notice! Update your payment details or service will be terminated.,spam
Get rich quick! Invest in Bitcoin today and double your money.,spam
Final notice! Update your payment details or service will be terminated.,spam
You have been selected for a FREE Cash Reward. Call +91-9876543210 today!,spam
Limited time offer! Get 70% off on all products. Visit http://fakeoffer.net,spam
Get rich quick! Invest in Bitcoin today and double your money.,spam
You have been selected for a FREE iPhone 15. Call +91-9876543210 today!,spam
URGENT: Your account will be suspended. Verify now: http://fakeoffer.net,spam
"Earn up to ₹10,000 per day working from home. Join now: http://fakeoffer.net",spam
"Hi, are we still meeting tomorrow?",ham
You are the lucky winner of our Amazon Gift Card. Contact us immediately!,spam
Lunch at 1 PM? Let me know.,ham
You are the lucky winner of our Cash Reward. Contact us immediately!,spam
Thank you for your help yesterday.,ham
Don’t forget the team call at 4 PM.,ham
I’ll be on leave next week.,ham
Thank you for your help yesterday.,ham
"Earn up to ₹50,000 per day working from home. Join now: http://bit.ly/claim-prize",spam
"Earn up to ₹10,000 per day working from home. Join now: http://scam-link.com",spam
Please review the attached document.,ham
Please review the attached document.,ham
Don’t forget the team call at 4 PM.,ham
Lunch at 1 PM? Let me know.,ham
You are the lucky winner of our Cash Reward. Contact us immediately!,spam
Earn up to $200 per day per day working from home. Join now: http://bit.ly/claim-prize,spam
I’ll be on leave next week.,ham
URGENT: Your account will be suspended. Verify now: http://scam-link.com,spam
"Dear user, your loan of $200 per day has been pre-approved. Apply here: http://scam-link.com",spam
Happy Birthday! 🎉 Have a great day.,ham
You are the lucky winner of our Amazon Gift Card. Contact us immediately!,spam
Happy Birthday! 🎉 Have a great day.,ham
"Dear user, your loan of $200 per day has been pre-approved. Apply here: http://fakeoffer.net",spam
"Hi, are we still meeting tomorrow?",ham
"Dear user, your loan of ₹10,000 has been pre-approved. Apply here: http://fakeoffer.net",spam
You are the lucky winner of our Holiday Package. Contact us immediately!,spam
"Dear user, your loan of $999 has been pre-approved. Apply here: http://scam-link.com",spam
Happy Birthday! 🎉 Have a great day.,ham
Don’t forget the team call at 4 PM.,ham
Lunch at 1 PM? Let me know.,ham
Thank you for your help yesterday.,ham
"Hi, are we still meeting tomorrow?",ham
Final notice! Update your payment details or service will be terminated.,spam
Happy Birthday! 🎉 Have a great day.,ham
Final notice! Update your payment details or service will be terminated.,spam
Lunch at 1 PM? Let me know.,ham
Get rich quick! Invest in Shiba Inu today and double your money.,spam
I’ll be on leave next week.,ham
Can you send me the report by evening?,ham
Don’t forget the team call at 4 PM.,ham
Earn up to $999 per day working from home. Join now: http://bit.ly/claim-prize,spam
Can you send me the report by evening?,ham
You are the lucky winner of our Cash Reward. Contact us immediately!,spam
You are the lucky winner of our Holiday Package. Contact us immediately!,spam
"Earn up to ₹10,000 per day working from home. Join now: http://scam-link.com",spam
Congratulations! You’ve won Amazon Gift Card. Click here to claim: http://scam-link.com,spam
Your parcel is waiting. Pay $5000 to release: http://scam-link.com,spam
I have updated the presentation slides.,ham
You have been selected for a FREE Cash Reward. Call +44-7700-900123 today!,spam
Earn up to $999 per day working from home. Join now: http://scam-link.com,spam
I have updated the presentation slides.,ham
I’ll be on leave next week.,ham
Thank you for your help yesterday.,ham
Don’t forget the team call at 4 PM.,ham
Congratulations! You’ve won MacBook. Click here to claim: http://bit.ly/claim-prize,spam
Don’t forget the team call at 4 PM.,ham
